Date,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,USA,"49,428,913",,"803,045",,"39,205,902",,"9,419,966","13,201","148,104","2,406","753,993,369","2,259,195","333,744,223",North America,7,416,0,,,"28,225"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,India,"34,596,776",,"469,247",,"34,028,506","10,207","99,023","8,944","24,727",335,"642,412,315","459,141","1,399,161,383",Asia,40,"2,982",2,,,71
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Brazil,"22,094,459",,"614,754",,"21,321,631",,"158,074","8,318","102,912","2,863","63,776,166","297,057","214,693,373",South America,10,349,3,,,736
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,UK,"10,228,772",,"144,969",,"9,062,561",,"1,021,242",916,"149,566","2,120","362,531,048","5,300,958","68,389,728",Europe,7,472,0,,,"14,933"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Russia,"9,636,881",,"275,193",,"8,329,253",,"1,032,435","2,300","65,996","1,885","224,900,000","1,540,170","146,022,882",Europe,15,531,1,,,"7,070"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Turkey,"8,795,588",,"76,842",,"8,326,381",,"392,365","1,405","102,728",897,"107,680,920","1,257,656","85,620,347",Asia,10,"1,114",1,,,"4,583"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,France,"7,675,504",,"119,131",,"7,124,909",,"431,464","1,824","117,223","1,819","162,981,031","2,489,112","65,477,576",Europe,9,550,0,,,"6,589"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Iran,"6,117,445",,"129,830",,"5,883,470",,"104,145","3,334","71,540","1,518","38,439,240","449,527","85,510,446",Asia,14,659,2,,,"1,218"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Germany,"5,881,423",,"102,137",,"4,937,600","44,300","841,686","4,459","69,882","1,214","83,816,414","995,889","84,162,420",Europe,14,824,1,,,"10,001"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Argentina,"5,330,748",,"116,589",,"5,193,691",,"20,468",617,"116,439","2,547","26,222,843","572,784","45,781,390",South America,9,393,2,,,447
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Spain,"5,164,184",,"88,052",,"4,923,140",,"152,992",713,"110,392","1,882","66,213,858","1,415,420","46,780,367",Europe,9,531,1,,,"3,270"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Colombia,"5,069,644",,"128,528",,"4,909,572",,"31,544",342,"98,156","2,489","28,112,712","544,307","51,648,595",South America,10,402,2,,,611
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Italy,"5,028,547",,"133,828",,"4,700,449",,"194,270",683,"83,342","2,218","119,331,735","1,977,780","60,336,188",Europe,12,451,1,,,"3,220"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Indonesia,"4,256,409",,"143,830",,"4,104,657",,"7,922",,"15,332",518,"54,475,477","196,232","277,607,186",Asia,65,"1,930",5,,,29
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Mexico,"3,887,873","3,307","294,246",296,"3,245,219","2,272","348,408","4,798","29,714","2,249","11,861,186","90,650","130,845,299",North America,34,445,11,25,2,"2,663"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Poland,"3,540,061",,"83,583",,"3,038,451",,"418,027","1,825","93,682","2,212","24,340,316","644,128","37,788,035",Europe,11,452,2,,,"11,062"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Ukraine,"3,450,341","11,960","86,532",557,"2,972,192","26,160","391,617",177,"79,570","1,996","15,917,165","367,073","43,362,378",Europe,13,501,3,276,13,"9,031"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,South Africa,"2,968,052",,"89,843",,"2,849,558",,"28,651",546,"49,169","1,488","19,477,054","322,659","60,364,210",Africa,20,672,3,,,475
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Philippines,"2,832,734",,"48,545",,"2,768,389",,"15,800","1,023","25,374",435,"24,238,501","217,114","111,639,683",Asia,39,"2,300",5,,,142
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Netherlands,"2,643,176",,"19,414",,"2,112,638",,"511,124",604,"153,776","1,129","19,205,114","1,117,327","17,188,438",Europe,7,885,1,,,"29,737"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Malaysia,"2,632,782",,"30,425",,"2,537,204",,"65,153",509,"79,899",923,"37,735,175","1,145,179","32,951,341",Asia,13,"1,083",1,,,"1,977"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Peru,"2,236,351",,"201,176",,N/A,N/A,N/A,971,"66,518","5,984","20,314,089","604,225","33,620,094",South America,15,167,2,,,"9,355"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Czechia,"2,172,084","21,973","33,186",54,"1,860,920",460,"277,978","1,069","202,298","3,091","43,809,304","4,080,199","10,737,051",Europe,5,324,0,"2,046",5,"25,890"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Thailand,"2,120,758","4,886","20,812",43,"2,025,754","6,326","74,192","1,369","30,276",297,"14,913,135","212,901","70,047,428",Asia,33,"3,366",5,70,0.6,"1,059"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Iraq,"2,081,172",,"23,820",,"2,045,021",,"12,331",103,"50,155",574,"16,341,046","393,807","41,495,089",Asia,20,"1,742",3,,,297
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Canada,"1,792,500",,"29,687",,"1,737,256",,"25,557",497,"46,912",777,"48,807,147","1,277,358","38,209,443",North America,21,"1,287",1,,,669
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Romania,"1,779,667",,"56,529",,"1,686,752",,"36,386","1,146","93,390","2,966","16,019,397","840,636","19,056,290",Europe,11,337,1,,,"1,909"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Belgium,"1,766,035","16,566","27,015",49,"1,340,916","7,106","398,104",760,"151,450","2,317","24,726,131","2,120,435","11,660,874",Europe,7,432,0,"1,421",4,"34,140"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Chile,"1,762,751",,"38,346",,"1,656,702",,"67,703",696,"91,108","1,982","25,592,070","1,322,730","19,347,920",South America,11,505,1,,,"3,499"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Japan,"1,727,304",83,"18,360",1,"1,708,079",73,865,43,"13,716",146,"27,926,519","221,764","125,929,267",Asia,73,"6,859",5,0.7,0.01,7
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Bangladesh,"1,576,284",,"27,981",,"1,540,965",,"7,338","1,382","9,438",168,"10,888,751","65,200","167,006,043",Asia,106,"5,969",15,,,44
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Israel,"1,343,660",,"8,196",,"1,329,800",,"5,664",115,"144,077",879,"31,188,024","3,344,202","9,326,000",Asia,7,"1,138",0,,,607
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Pakistan,"1,285,254",414,"28,737",9,"1,242,354",118,"14,163",896,"5,663",127,"22,028,156","97,065","226,941,972",Asia,177,"7,897",10,2,0.04,62
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Serbia,"1,254,845",,"11,691",,"1,193,265",,"49,889",199,"144,440","1,346","6,814,207","784,358","8,687,629",Europe,7,743,1,,,"5,743"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Vietnam,"1,238,082",,"25,252",,"989,348",,"223,482","5,788","12,560",256,"68,317,914","693,053","98,575,292",Asia,80,"3,904",1,,,"2,267"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Sweden,"1,204,859",,"15,119",,"1,158,493",,"31,247",42,"118,260","1,484","13,708,481","1,345,524","10,188,210",Europe,8,674,1,,,"3,067"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Austria,"1,159,995",,"12,492",,"1,007,909",,"139,594",642,"127,767","1,376","110,579,782","12,179,754","9,078,983",Europe,8,727,0,,,"15,376"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Portugal,"1,147,249",,"18,441",,"1,075,237",,"53,571",116,"112,977","1,816","21,283,107","2,095,889","10,154,691",Europe,9,551,0,,,"5,275"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Hungary,"1,103,108",,"34,521",,"882,659",,"185,928",513,"114,600","3,586","8,443,744","877,210","9,625,685",Europe,9,279,1,,,"19,316"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Switzerland,"1,009,900",,"11,541",,"861,500",,"136,859",203,"115,496","1,320","12,403,612","1,418,527","8,744,009",Europe,9,758,1,,,"15,652"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Kazakhstan,"972,292",751,"12,703",7,"937,383","1,433","22,206",528,"50,922",665,"11,575,012","606,220","19,093,759",Asia,20,"1,503",2,39,0.4,"1,163"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Cuba,"962,486",,"8,304",,"953,337",,845,23,"85,049",734,"11,097,946","980,657","11,316,847",North America,12,"1,363",1,,,75
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Jordan,"953,943",,"11,608",,"887,074",,"55,261","1,064","92,203","1,122","12,169,073","1,176,193","10,346,151",Asia,11,891,1,,,"5,341"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Morocco,"949,917",,"14,776",,"932,291",,"2,850",347,"25,312",394,"10,444,492","278,311","37,528,160",Africa,40,"2,540",4,,,76
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Greece,"938,903",,"18,157",,"843,050",,"77,696",664,"90,706","1,754","36,357,597","3,512,440","10,351,094",Europe,11,570,0,,,"7,506"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Georgia,"850,102","4,459","12,119",65,"792,158","3,957","45,825",,"213,682","3,046","11,612,050","2,918,813","3,978,346",Asia,5,328,0,"1,121",16,"11,519"
,,,,,,,,,,,,,,,,,,,,,
12/1/2021,Nepal,"821,366",,"11,526",,"802,909",,"6,931",,"27,492",386,"4,622,560","154,724","29,876,090",Asia,36,"2,592",6,,,232
,,,,,,,,,,,,,,,,,,,,,
